node,community
CG7928,6
SGT,0
POLE2,12
EBI-105310,19
EBI-117860,19
DLC90F,8
P130CAS,6
GRIP71,6
EBI-196643,19
IMPE1,19
CG8455,2
CG9027,2
TRL,12
CG2224,8
ACF1,17
TIF-IA,0
HSP68,4
CG15308,0
CG2052,17
CG6393,6
CG6654,4
CG6543,2
SNCF,11
CG8929,0
S6K,2
STET,22
S,22
USF,6
CG6685,11
SOP,4
HLH4C,6
CDC2,2
CYCE,2
EF2B,0
CG11873,17
EBI-115621,25
EBI-121909,15
CG13889,15
AATS-PHE,15
DL,22
U2AF38,6
CG7971,5
PLAP,0
CG10943,6
CANA,6
CG17134,11
GBETA76C,11
GM130,6
EBI-161439,6
CG14546,2
CG9418,6
EBI-128171,21
CG14767,21
CG14119,2
YP2,10
CG14869,6
CG14246,21
ECD,2
EBI-160257,2
CG15561,7
EBI-86340,7
CG10418,21
CG2021,6
EBI-114041,0
CG5555,1
CDLC2,4
OSI6,4
SKPC,2
CG9316,2
ARPC3B,6
SMG6,2
CG1745,24
SU(VAR)205,24
EBI-176747,0
EBI-128409,0
KOKO,2
FRY,2
MCM5,2
CG15167,6
RPL21,4
RAPS,6
CG7323,2
CG17667,11
MP1,11
CG4589,17
EBI-151243,0
EBI-83388,6
CG12256,0
TOLLO,1
CG9776,2
EBI-185260,0
CG14323,5
CG15881,5
CG7488,2
CG4335,2
CG15771,19
CG5149,4
HLHM3,23
PVF1,15
EBI-178970,15
CYP4G1,0
CG5270,3
EBI-167768,4
CG4835,19
HSP70AB,19
EBI-83139,0
BRM,10
DALAO,10
R,2
ESN,3
MTNB,0
CG9288,27
EF1ALPHA48D,27
VHA13,3
CG17777,0
CG31217,0
CG12491,5
CG5478,6
CG32159,6
EBI-102987,24
EBI-189914,24
CG1193,21
EBI-177531,21
BRK,19
CG32486,1
CG3630,8
SOL,6
CG13581,24
CALX,24
KUZ,22
PXT,0
L(2)03709,7
EBI-122840,24
TH,17
GS1,0
IRE-1,4
CG8310,6
PP2B-14D,3
MEI-9,19
EBI-150176,15
DIP2,19
X11L,24
ALPHA-CATENIN-RELATED,6
EBI-161602,6
STY,19
BSH,0
PABP,19
KIN17,23
EBI-139287,21
EIF-4A,19
CG6443,11
EBI-204491,11
EBI-85750,24
EBI-530681,6
CG3919,6
CG17244,28
MES4,28
MTS,0
HLHM5,23
TAP,0
CG5525,4
EBI-186095,0
CG18304,4
RPS3A,19
VHA16,11
SSRBETA,11
CG2278,6
NCA,19
CG9754,28
CG6359,28
CG2712,6
PLU,2
MRPL45,0
CG5731,2
EBI-157400,2
CG18259,6
DOR,2
CG7173,0
MYO10A,0
CYCC,2
L(3)S147910,2
CG8965,17
CG9883,17
RUX,2
CG14798,2
EBI-206481,19
CG8907,6
CG31038,2
CG31012,2
CG6833,32
CG3918,5
CG11906,6
CG5798,2
RHO1,4
CG14442,6
CG13085,15
CG6856,6
CG3353,7
CG7430,7
TRXR-1,7
PAK,2
EBI-207836,28
EBI-207795,28
EBI-193297,0
EBI-152228,9
RAP2L,4
CG17374,10
PGLYM87,2
CG4365,10
CG5466,0
CG1707,2
OR45A,23
FUCTB,23
CG13197,23
CG9511,29
EBI-118333,29
FRQ2,19
LANB1,19
TLL,0
LECTIN-29CA,0
CG10512,6
OPA,19
CG13627,19
CG12237,19
CG7206,15
CG9170,15
EBI-175261,4
CG11896,19
EIF2B-ALPHA,7
EBI-112502,7
CG15634,0
CYP6G2,27
BSK,7
SPN-F,6
CG10365,6
LACE,3
HSC70-4,19
CG12796,7
PROS29,7
TANGO6,6
CG1104,19
CG5862,19
EBI-86660,2
USP,2
CG2046,6
EBI-102597,11
STAM,2
CG32635,4
EBI-186953,4
CG4049,2
KEAP1,24
DIMM,2
CG9099,17
SALM,17
CG14317,2
L(1)G0004,3
EBI-151120,2
MLE,5
FU12,5
GLO,19
MTOR,17
SUCB,2
EBI-74966,2
CG7911,6
CG14671,0
CG12316,6
CG9173,19
CG7414,4
GEL,2
GP150,4
CG15219,6
GUS,2
CG11166,2
RGL,19
PROS26.4,7
PROSALPHA6T,7
PORIN,19
CG9772,2
IA2,17
CDK4,2
CG13840,0
CG13063,0
CG14578,19
EBI-133084,2
EBI-83112,6
RPS7,6
INV,6
EBI-86723,4
EBI-203651,8
LK6,6
RPL5,6
CG9510,0
DHD,0
MRPL51,24
CG9740,24
CDK7,19
NOA36,19
BICD,6
CYT-C-P,0
CG14850,15
CREBA,15
CG14634,0
CSN4,6
CG5026,6
EBI-198486,12
CG3501,29
CG32406,6
CG10681,6
GRIP128,6
CYCH,2
CG31550,0
CG3075,0
EBI-100575,15
SOB,3
CG13277,15
CG9837,6
CG15658,24
CG10889,24
CG13032,6
EBI-152886,28
ICE,8
CG4325,6
CG7386,6
EBI-162921,0
RPS3,0
L(1)G0136,6
CG31373,0
EBI-183080,0
RPL4,6
CG18806,6
MRPL44,6
CG32158,21
NACP60E,19
CG18292,0
CUL-2,2
DWG,2
EBI-196831,19
CG14545,15
CG18301,27
EBI-216413,21
SISA,6
SRC64B,6
SPASE22-23,7
CG1143,0
CG5890,0
CG15861,2
EBI-95855,17
HSP60B,23
CG3107,28
PKA-C1,3
CG2540,0
CRK,0
DLGAP1,19
CG3221,2
STAR1,0
CHRO,0
CG4691,7
DNAPOL-DELTA,17
CG14816,2
DAP,2
CG15043,2
PATR-1,17
TJ,19
SAS-4,17
EBI-113258,19
CG5708,2
CG18731,6
DNAPRIM,2
EBI-107965,0
ALPHA-MAN-II,5
CG31145,8
CG17768,11
SLIP1,6
CG5791,19
PPN,0
FER1HCH,9
FS(2)KET,9
CG13138,6
EBI-180984,12
CG32795,17
PEBIII,19
CG16890,6
ES2,6
EBI-168087,6
RAS,2
DOCK,24
EBI-143999,0
TPS1,0
EMB,3
CG14135,3
CG10032,19
EBI-196947,1
CG6569,6
CG3995,6
CG13928,0
CG13526,0
XBP1,24
CG13022,17
EBI-75338,4
CG6921,17
EFF,7
CG40127,11
OKR,17
CG31198,17
EBI-114906,11
HRS,22
CG5524,22
CG7835,19
YL,19
CG17855,6
CG4730,3
CG17211,6
CG14044,6
CG13603,19
SPN5,8
EBI-200752,6
CG9293,28
CG12304,21
AATS-ASP,21
EBI-155032,0
EBI-101163,0
MCM2,24
MCM3,24
CG5857,6
CG15185,11
AP-1GAMMA,11
FD59A,6
CHB,11
CORN,17
INSC,21
