node,community
EBI-113258,0
CG5708,3
CG18731,8
DNAPRIM,3
EBI-107965,1
ALPHA-MAN-II,12
CG31145,12
CG17768,14
SLIP1,8
CG5791,6
PPN,6
FER1HCH,1
FS(2)KET,1
CG13138,1
EBI-180984,16
CG32795,1
PEBIII,1
CG16890,23
ES2,8
EBI-168087,8
RAS,3
DOCK,19
EBI-143999,6
TPS1,8
EMB,16
CG14135,16
CG10032,6
EBI-196947,23
CG6569,8
CG3995,8
CG13928,1
CG13526,1
XBP1,13
CG13022,13
EBI-75338,19
CG6921,19
EFF,1
CG40127,8
OKR,0
CG31198,13
EBI-114906,23
HRS,19
CG5524,19
CG7835,6
YL,6
CG17855,8
CG4730,13
CG17211,6
CG14044,6
CG13603,6
SPN5,6
EBI-200752,8
CG9293,8
CG12304,9
AATS-ASP,9
EBI-155032,1
EBI-101163,1
MCM2,3
MCM3,3
CG5857,8
CG15185,0
AP-1GAMMA,8
FD59A,8
CHB,0
CORN,16
INSC,0
CPR76BA,1
CG3557,6
RAC1,13
PAR-6,0
CG1120,3
NEK2,6
MNT,0
CG7564,0
CG6933,6
EBI-196732,6
CG17086,6
CG13588,3
CG11275,8
GSB,3
CG5168,4
EBI-110745,4
CG1893,13
ATPSYN-BETA,6
CG10103,8
CG14639,1
CG3081,6
MES2,6
CG12299,6
NMO,18
L(3)L1231,14
CG12079,17
TMS1,6
CG14182,4
CG9951,8
CG10664,6
KRN,18
RHO-4,1
SINA,0
CG4328,6
CG13458,8
EBI-154606,7
SU(VAR)3-7,7
PROS25,9
CG12010,9
CG12877,7
NHP2,15
EBI-192791,8
EBI-186934,8
RPL29,8
CG4045,16
CG10721,19
EBI-218559,2
EIF-2BETA,2
CG17265,8
CG17801,8
SCP2,8
VHAPPA1-1,4
CG32016,1
TAF7,19
IF,13
TEN-M,13
RPL19,22
STNB,11
STNA,11
EBI-189006,15
CG10479,20
CG12521,2
CG1324,3
EXO70,8
HR4,8
TRAF1,8
AATS-TYR,22
CG5359,8
CG13843,6
CG12433,8
CG15529,6
EBI-132998,1
CG5445,1
CG13890,9
ENO,9
TRUS,8
CG8319,8
CG10086,8
AND,19
CG1678,1
EBI-195262,22
CG3386,13
CG15136,4
EBI-92615,8
CG10478,20
CG3876,20
CKIIALPHA,18
CG14864,22
CYP9F2,4
CG3402,18
GLCAT-P,18
NUFIP,1
CG5325,14
ZETATRY,14
CG12272,8
RCA1,3
KIS,13
CG10341,19
CG15220,16
CG41099,6
CG9083,1
HP1E,8
